high,low,open,volumefrom,volumeto,close
37109.74,36664.16,36901.42,8309.56,306155936.03,36802.34
36898.99,36176.14,36802.34,11186.54,408486727.96,36463.79
36844.1,36426.22,36463.79,6370.3,233400523.86,36759.84
36853.31,36354.05,36759.84,6103.7,223339002.18,36673.7
36693.33,35809.65,36673.7,11224.77,405557696.82,36469.32
36730.72,36161.53,36469.32,5060.05,184761650,36695.68
37072.07,36587.27,36695.68,5307.34,195251433.27,36829.96
36980.33,36596.61,36829.96,4185.52,154094555.5,36676.36
37260.58,36336.78,36676.36,10263.84,377120344.89,36416.79
36500.73,35955.61,36416.79,7661.82,277585648.04,36292.07
36358.29,35965.67,36292.07,5621.18,203338467.07,36337.07
36904.7,36325.97,36337.07,7773.23,285087551.49,36765.06
37147.31,36649.84,36765.06,7536.98,277849226.15,37041.72
37409.39,36905.06,37041.72,8081.56,300292505.26,37003.63
37035.76,36465.82,37003.63,7105.13,261140690.84,36514.39
37184.07,36400.86,36514.39,8241.5,303785050.35,37154.3
37325.81,36926.79,37154.3,7573.64,280988455.52,37029.72
37466.38,36951.48,37029.72,8734.68,324572467.22,37052.15
37662.12,37035.07,37052.15,9188.16,343904508.94,37472.73
37550.81,37189.4,37472.73,6806.19,254309071.13,37376.12
37467.75,37009.6,37376.12,7531.55,280236907.16,37306.16
37573.79,37306.14,37306.16,5750.83,215377582.23,37450.4
37495.22,37128.25,37450.4,6782.87,252900961.96,37254.29
37263.86,36762.67,37254.29,7398.28,273230816.84,36828.47
36969.63,36526,36828.47,8087.98,297021974.13,36652.11
36952.98,36577.77,36652.11,6160.11,226837878.22,36908.57
37218.44,36758.46,36908.57,6028.75,222720087.82,37183.16
37389.2,37077.81,37183.16,5682.62,211563994.41,37252.14
37464.73,37145.87,37252.14,5158.01,192427752.35,37147.25
37313.28,36770.97,37147.25,6109.59,226321353.15,36909.43
37487.53,36842.88,36909.43,7914.1,294522480.78,37357.79
37396.7,36946.61,37357.79,6501.54,241703163.28,37335.57
37455.21,36978.86,37335.57,7855.76,292039360.01,37056.39
37126.67,36173.28,37056.39,12038.03,440026126.19,36231.09
36369.5,35442.13,36231.09,16992.04,609745366.12,35506.6
35881.75,35291.5,35506.6,9051.12,322205137.36,35581.47
35719.16,35113.5,35581.47,9039.42,319703781.93,35235.76
35483.13,35004.5,35235.76,7762.9,273679084.11,35170.42
35376.64,35102.67,35170.42,5740.98,202320712.85,35318.73
35589.23,35236.42,35318.73,8964.85,317599334.06,35288.65
35421.08,35110.99,35288.65,6367.78,224542714.73,35170.02
35390.88,35048.28,35170.02,5974.51,210461448.6,35241.35
35865.74,34661.47,35241.35,17452.46,615053682.37,35667.66
35706.52,35404.17,35667.66,6796.48,241639959.95,35595.03
36189.67,35512.76,35595.03,10624.33,381138181.41,36043.27
36082.82,35843.71,36043.27,5309.2,190803230.1,35990.9
36006.11,35484.32,35990.9,5876.03,209609558.99,35661.94
35837.02,35332.44,35661.94,6461.97,229609385.6,35394.05
35593.01,35318.72,35394.05,6939.62,246161760.37,35522.92
35806.5,35401.47,35522.92,5311.44,189131760.76,35720.39
35990.71,35654.84,35720.39,4992.29,178928752.91,35899.12
35943,35691.14,35899.12,3629.96,129977477.34,35730.61
36129.3,35730.6,35730.61,4887.76,175785374.62,35993.95
36036.35,35767.96,35993.95,4703.11,168860492.23,35820.18
35990.07,35549.79,35820.18,5181.03,185043897.05,35692.4
35858.89,35426.34,35692.4,3869.05,138042035.14,35541.55
35773.74,35347.89,35541.55,5438.44,193143740.97,35731.89
35906.15,35672.57,35731.89,4392.87,157156598.01,35787.34
35842.36,35415.37,35787.34,5814.19,206928856.38,35463.98
35467.98,34841.27,35463.98,9365.79,328469945.52,34874.08
35252.48,34767.1,34874.08,5828.28,203957304.62,35181.64
35209.16,34843.9,35181.64,4058.9,142114548.14,34975.98
35399.39,34894.52,34975.98,5782.84,203078526.38,35371
35488.65,35251.54,35371,4783.03,169003930.97,35290.23
35754.97,35181.2,35290.23,5570.33,197567608.13,35626.54
35886.73,35506.21,35626.54,5268.58,187856789.53,35838.71
36078.12,35715.99,35838.71,7068.42,253446604.96,35971.29
36090.09,35746.9,35971.29,5992.7,215279334.82,35907.46
36143.08,35796.7,35907.46,6789.61,244288508.32,35887.21
36066.85,35781.51,35887.21,4027.06,144741511.46,35878.54
36009.8,35675.67,35878.54,4970.19,178061166.22,35760.44
36071.05,35729.47,35760.44,4817.69,173080811.75,36036.67
37188.11,35975.15,36036.67,17858.97,656384076.33,37029.84
37464.94,36864.96,37029.84,9317.61,346414207.11,37317.16
37615.38,37266.64,37317.16,7990.51,299081503.5,37490.7
